"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Verify Cash - Assurance Package Payouts: Verify payout for different users for own one or no property","10","0","","0"
"0","","0","Verify Cash - Assurance Package Payouts: Verify payout for different users for own more than one property","10","0","","0"
"0","","0","Verify Cash - Assurance Package Payouts: Verify payout for users less than 20 of age","10","0","","0"
